XLabel;Wavenumber
YLabel;%Transmittance
FileType;%Transmittance
DisplayDirection;20300
PeakDirection;20311
649,954535;28,543806
650,420453;28,412145
650,88637;28,420064
651,352287;28,370186
651,818204;28,637698
652,284122;29,639186
652,750039;30,773217
653,215956;31,132275
653,681873;30,860266
654,14779;30,720053
654,613708;30,754819
655,079625;30,570392
655,545542;30,428019
656,011459;30,789334
656,477377;31,208625
656,943294;31,002069
657,409211;30,523334
657,875128;30,55136
658,341045;30,877125
658,806963;30,745403
659,27288;30,238761
659,738797;30,034031
660,204714;30,078747
660,670632;29,812985
661,136549;29,41724
661,602466;29,601115
662,068383;30,341544
662,534301;30,900133
663,000218;30,974405
663,466135;30,888895
663,932052;30,817024
664,397969;30,685818
664,863887;30,68588
665,329804;31,028457
665,795721;31,366596
666,261638;31,175586
666,727556;30,464501
667,193473;29,688846
667,65939;29,180012
668,125307;29,035921
668,591225;29,476218
669,057142;30,258138
669,523059;30,771874
669,988976;30,868033
670,454893;30,908634
670,920811;31,107842
671,386728;31,126674
671,852645;30,76306
672,318562;30,529741
672,78448;30,84341
673,250397;31,189398
673,716314;30,960812
674,182231;30,520199
674,648149;30,569048
675,114066;30,968324
675,579983;31,160145
676,0459;31,301548
676,511817;31,897723
676,977735;32,662851
677,443652;32,830845
677,909569;32,36199
678,375486;31,938287
678,841404;31,84845
679,307321;31,817854
679,773238;31,801905
680,239155;32,002626
680,705073;32,224324
681,17099;32,084181
681,636907;31,767459
682,102824;31,773348
682,568741;32,020268
683,034659;32,012162
683,500576;31,737126
683,966493;31,62722
684,43241;31,728161
684,898328;31,704865
685,364245;31,612716
685,830162;31,88945
686,296079;32,557191
686,761997;33,125034
687,227914;33,299537
687,693831;33,234696
688,159748;33,110398
688,625665;32,981417
689,091583;33,002871
689,5575;33,264408
690,023417;33,478544
690,489334;33,365819
690,955252;33,170588
691,421169;33,293483
691,887086;33,607938
692,353003;33,682296
692,81892;33,515066
693,284838;33,487126
693,750755;33,657655
694,216672;33,697692
694,682589;33,488234
695,148507;33,267289
695,614424;33,207473
696,080341;33,296515
696,546258;33,57268
697,012176;34,029167
697,478093;34,381597
697,94401;34,34944
698,409927;34,054412
698,875844;33,790967
699,341762;33,568684
699,807679;33,267026
700,273596;33,031712
700,739513;33,070462
701,205431;33,220556
701,671348;33,19262
702,137265;33,10163
702,603182;33,309777
703,0691;33,85158
703,535017;34,425041
704,000934;34,815452
704,466851;34,971026
704,932768;34,855795
705,398686;34,584051
705,864603;34,501399
706,33052;34,755209
706,796437;34,998277
707,262355;34,924475
707,728272;34,813056
708,194189;35,08783
708,660106;35,595775
709,126024;35,865753
709,591941;35,844502
710,057858;35,837807
710,523775;35,894841
710,989692;35,805584
711,45561;35,619346
711,921527;35,630787
712,387444;35,867891
712,853361;36,074704
713,319279;36,164361
713,785196;36,253763
714,251113;36,319802
714,71703;36,265861
715,182948;36,277765
715,648865;36,661091
716,114782;37,337409
716,580699;37,900291
717,046616;38,12946
717,512534;38,122269
717,978451;37,984609
718,444368;37,743245
718,910285;37,539833
719,376203;37,560389
719,84212;37,765915
720,308037;37,982928
720,773954;38,191514
721,239872;38,449003
721,705789;38,672726
722,171706;38,799116
722,637623;38,987423
723,10354;39,370764
723,569458;39,765434
724,035375;39,923197
724,501292;39,889699
724,967209;39,81603
725,433127;39,641643
725,899044;39,325579
726,364961;39,160906
726,830878;39,439181
727,296795;39,968573
